DATASET_NAME,NUMBER_OF_TRAINING_RELEASES,PERCENTAGE_TRAINING,PERCENTAGE_DEFECTIVE_TRAINING,PERCENTAGE_DEFECTIVE_TESTING,CLASSIFIER,BALANCING,FEATURE_SELECTION,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,ROC_AREA,KAPPA
bookkeeper,2,19.622778382299604,26.062846580406653,27.107061503416855,RANDOM_FOREST,OVER_SAMPLING,NO_SELECTION,63.0,92.0,228.0,56.0,0.4064516129032258,0.5294117647058824,0.6889968487394958,0.22092186675619935
bookkeeper,3,35.54588320638375,26.53061224489796,24.60136674259681,RANDOM_FOREST,OVER_SAMPLING,NO_SELECTION,57.0,82.0,249.0,51.0,0.41007194244604317,0.5277777777777778,0.6625685353026742,0.25535333954010364
bookkeeper,4,51.4689880304679,25.933756166314307,68.86363636363636,RANDOM_FOREST,OVER_SAMPLING,NO_SELECTION,119.0,20.0,117.0,184.0,0.8561151079136691,0.3927392739273927,0.6052010310520103,0.18582080075467594
bookkeeper,5,67.42836416394631,36.094674556213015,61.65919282511211,RANDOM_FOREST,OVER_SAMPLING,NO_SELECTION,251.0,41.0,130.0,24.0,0.8595890410958904,0.9127272727272727,0.8847846889952153,0.6858542294271905
bookkeeper,6,83.60536815379035,41.0412147505423,70.13274336283186,RANDOM_FOREST,OVER_SAMPLING,NO_SELECTION,276.0,22.0,113.0,41.0,0.9261744966442953,0.8706624605678234,0.9137282392802898,0.680217410834606
bookkeeper,1,8.705114254624592,32.916666666666664,20.59800664451827,RANDOM_FOREST,UNDER_SAMPLING,NO_SELECTION,58.0,82.0,157.0,4.0,0.4142857142857143,0.9354838709677419,0.8589215818599001,0.4041250402835965
bookkeeper,2,19.622778382299604,26.062846580406653,27.107061503416855,RANDOM_FOREST,UNDER_SAMPLING,NO_SELECTION,80.0,116.0,204.0,39.0,0.40816326530612246,0.6722689075630253,0.7017594537815126,0.25745059310103996
bookkeeper,3,35.54588320638375,26.53061224489796,24.60136674259681,RANDOM_FOREST,UNDER_SAMPLING,NO_SELECTION,72.0,105.0,226.0,36.0,0.4067796610169492,0.6666666666666666,0.7242363209130581,0.287559131245468
bookkeeper,4,51.4689880304679,25.933756166314307,68.86363636363636,RANDOM_FOREST,UNDER_SAMPLING,NO_SELECTION,154.0,37.0,100.0,149.0,0.806282722513089,0.5082508250825083,0.5903856809038568,0.19459916940579053
bookkeeper,5,67.42836416394631,36.094674556213015,61.65919282511211,RANDOM_FOREST,UNDER_SAMPLING,NO_SELECTION,275.0,54.0,117.0,0.0,0.8358662613981763,1.0,0.8778947368421053,0.7276613067372277
bookkeeper,6,83.60536815379035,41.0412147505423,70.13274336283186,RANDOM_FOREST,UNDER_SAMPLING,NO_SELECTION,275.0,14.0,121.0,42.0,0.9515570934256056,0.8675078864353313,0.9268839817735717,0.7208830469973315
bookkeeper,1,8.705114254624592,32.916666666666664,20.59800664451827,RANDOM_FOREST,SMOTE,NO_SELECTION,55.0,64.0,175.0,7.0,0.46218487394957986,0.8870967741935484,0.8698542313402619,0.4620264317180617
bookkeeper,2,19.622778382299604,26.062846580406653,27.107061503416855,RANDOM_FOREST,SMOTE,NO_SELECTION,45.0,67.0,253.0,74.0,0.4017857142857143,0.37815126050420167,0.675577731092437,0.17195296509839075
